Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Croatia,HRV,27.073,16.181,10.218,9.784,9.885,9.557,9.041,9.062,8.895,8.637,8.236,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cuba,CUB,77.793,47.865,49.249,50.275,49.205,51.207,53.938,52.618,51.493,48.82,48.914,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Curacao,CUW,54.293,44.192,35.714,31.645,24.765,20.774,22.165,23.148,22.897,23.142,22.722,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cyprus,CYP,35.111,10.351,5.293,5.446,6.04,6.608,7.142,6.955,6.896,6.827,6.825,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Czechia,CZE,40.665,13.349,12.123,11.626,11.62,11.523,10.59,9.851,9.839,9.709,9.364,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Denmark,DNK,9.331,8.169,3.834,3.561,3.511,2.893,2.495,2.123,1.893,1.908,1.814,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Djibouti,DJI,46.119,33.891,23.599,23.267,23.038,22.961,22.629,22.716,22.776,22.722,22.675,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Dominica,DMA,91.477,59.459,42.372,41.114,39.635,39.105,39.348,39.325,39.022,38.49,37.933,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Dominican Republic,DOM,116.527,112.23,97.477,95.116,91.817,87.909,83.874,78.455,68.278,65.629,63.198,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Ecuador,ECU,88.897,88.773,80.124,79.692,75.1,72.683,71.383,67.77,63.944,63.163,62.065,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Egypt, Arab Rep.",EGY,80.932,58.95,58.101,56.931,52.246,50.624,49.099,46.431,45.672,44.767,43.603,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,El Salvador,SLV,123.204,107.896,70.115,70.359,65.213,61.531,58.197,57.808,56.83,55.89,54.546,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Equatorial Guinea,GNQ,184.778,178.464,163.445,161.13,158.434,156.047,152.601,148.872,143.936,139.706,136.439,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Eritrea,ERI,98.8,85.114,70.997,70.691,69.786,68.296,66.639,65.921,64.78,64.356,63.639,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Estonia,EST,54.371,26.095,15.38,12.848,10.899,9.813,9.404,8.687,8.829,8.764,8.1,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Eswatini,SWZ,133.422,107.487,79.13,77.114,75.721,74.418,73.158,71.813,70.784,69.934,68.426,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Ethiopia,ETH,173.019,143.402,79.701,76.59,74.23,71.878,71.267,71.691,70.643,69.221,66.502,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Faroe Islands,FRO,26.258,15.641,10.981,10.397,10.19,9.465,8.702,9.257,9.45,9.86,9.697,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Fiji,FJI,67.831,43.367,36.262,30.936,28.788,28.059,27.474,27.206,27.103,26.843,26.141,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Finland,FIN,12.122,9.699,7.254,6.282,5.504,4.856,4.328,4.092,4.092,4.159,4.1,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,France,FRA,12.71,11.913,9.074,8.273,7.582,7.288,8.166,9.662,9.407,9.529,9.442,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,French Polynesia,PYF,63.449,48.307,40.993,38.679,36.442,34.344,34.413,33.953,33.424,33.055,32.491,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Gabon,GAB,168.644,133.846,105.57,103.618,101.366,99.037,97.637,94.797,92.632,91.176,89.807,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Gambia, The",GMB,153.717,119.552,82.721,78.309,74.03,69.575,67.16,65.844,63.944,63.188,60.681,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Georgia,GEO,61.975,45.439,51.365,49.524,45.119,38.814,34.66,30.968,29.077,31.654,29.693,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Germany,DEU,20.707,13.698,8.114,8.318,9.511,8.618,8.004,7.524,7.417,7.465,7.186,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Ghana,GHA,107.522,83.564,69.031,69.999,68.045,65.897,67.225,66.576,65.152,64.176,63.41,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Gibraltar,GIB,29.186,19.713,13.851,13.609,12.653,12.57,12.568,12.243,11.982,11.88,11.911,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Greece,GRC,21.21,9.877,7.903,8.094,8.507,8.368,8.245,8.309,8.421,8.479,8.315,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Greenland,GRL,79.694,74.128,40.527,39.778,39.965,39.407,38.672,37.748,36.97,36.319,35.017,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Grenada,GRD,85.629,45.566,35.112,34.957,34.597,34.69,34.553,34.096,33.472,32.72,32.141,..
